iter	RMSE
175	673697.8524
176	673697.0663
177	673692.2726
178	673691.7445
179	673687.184
180	673687.157
181	673684.4643
182	673684.2506
183	673681.5551
184	673681.5349
185	673681.5343
186	673681.1775
187	673678.6733
188	673674.7231
189	673674.5615
190	673672.1043
191	673669.7521
192	673666.2122
193	673665.8661
194	673665.3011
195	673663.8106
196	673660.5312
197	673658.3642
198	673658.0064
199	673657.9923
200	673654.619
201	673651.4214
202	673651.2715
203	673649.9006
204	673646.8654
205	673646.8612
206	673646.8499
207	673644.1588
208	673642.3426
209	673640.6055
210	673640.4094
211	673639.2645
212	673639.2552
213	673639.252
214	673637.5691
215	673635.9311
216	673635.7654
217	673633.3543
218	673633.2294
219	673633.107
220	673633.07
221	673632.9738
222	673630.678
223	673628.4591
224	673626.2963
225	673624.1126
226	673622.7213
227	673622.6817
228	673622.4728
229	673620.3961
230	673619.0168
231	673617.7301
232	673615.9503
233	673614.2163
234	673612.5438
235	673612.5108
236	673612.4096
237	673610.8371
238	673609.6911
239	673608.5854
240	673608.5788
241	673607.0977
242	673607.0716
243	673606.0362
244	673605.017
245	673604.596
246	673603.594
247	673602.6192
248	673601.6812
249	673601.6277
250	673601.0796
251	673600.1678
252	673600.101
253	673598.8648
254	673597.5673
255	673597.5274
256	673596.6873
257	673595.8601
258	673595.064
259	673595.0429
260	673594.2575
261	673593.2299
262	673592.4998
263	673592.4747
264	673592.4619
265	673591.3529
266	673591.3127
267	673590.6063
268	673589.5614
269	673588.5541
270	673587.6702
271	673587.0354
272	673586.4282
273	673586.2976
274	673585.7057
275	673585.1294
276	673585.1191
277	673584.2511
278	673583.6873
279	673583.151
280	673583.0312
281	673582.5128
282	673581.8072
283	673581.1387
284	673580.4685
285	673580.3605
286	673579.8939
287	673579.4383
288	673578.8127
289	673578.1476
290	673578.0415
291	673577.6214
292	673577.5921
293	673577.1827
294	673576.783
295	673576.3919
296	673575.7932
297	673575.2827
298	673574.9242
299	673574.3826
300	673573.8609
301	673573.5267
302	673573.0328
303	673572.618
304	673572.6092
305	673572.3013
306	673571.8976
307	673571.6051
308	673571.5362
309	673571.2533
310	673570.8798
311	673570.6115
312	673570.3502
313	673569.9545
314	673569.7045
315	673569.3298
316	673568.963
317	673568.6097
318	673568.5888
319	673568.3588
320	673568.0691
321	673567.8513
322	673567.5319
323	673567.3313
324	673567.1359
325	673566.846
326	673566.6552
327	673566.4747
328	673566.2936
329	673566.1224
330	673565.8561
331	673565.5997
332	673565.3513
333	673565.1134
334	673564.9635
335	673564.8135
336	673564.6713
337	673564.5327
338	673564.3188
339	673564.1421
340	673564.0141
341	673564.0061
342	673563.8084
343	673563.6229
344	673563.5047
345	673563.3514
346	673563.1786
347	673563.0388
348	673562.9294
349	673562.7711
350	673562.6431
351	673562.4912
352	673562.3675
353	673562.2479
354	673562.2458
355	673562.1121
356	673562.0034
357	673561.8972
358	673561.8108
359	673561.7267
360	673561.6058
361	673561.5282
362	673561.4528
363	673561.3391
364	673561.2333
365	673561.1281
366	673561.0298
367	673560.9477
368	673560.8555
369	673560.789
370	673560.7279
371	673560.6407
372	673560.5579
373	673560.5012
374	673560.4198
375	673560.3413
376	673560.2683
377	673560.1978
378	673560.1466
379	673560.0797
380	673560.014
381	673559.9681
382	673559.9581
383	673559.895
384	673559.8335
385	673559.775
386	673559.7203
387	673559.7186
388	673559.6636
389	673559.6098
390	673559.5664
391	673559.5206
392	673559.4729
393	673559.4261
394	673559.3917
395	673559.348
396	673559.3153
397	673559.2804
398	673559.2424
399	673559.2113
400	673559.1717
401	673559.1419
402	673559.1059
403	673559.078
404	673559.0482
405	673559.0183
406	673558.9845
407	673558.9516
408	673558.9243
409	673558.8981
410	673558.8685
411	673558.8466
412	673558.8204
413	673558.7997
414	673558.7724
415	673558.7658
416	673558.7401
417	673558.7158
418	673558.693
419	673558.6692
420	673558.6462
421	673558.6255
422	673558.604
423	673558.5872
424	673558.5805
425	673558.5598
426	673558.5399
427	673558.5207
428	673558.5018
429	673558.4836
430	673558.4679
431	673558.4508
432	673558.4362
433	673558.4233
434	673558.4104
435	673558.3949
436	673558.3799
437	673558.3671
438	673558.3528
439	673558.3391
440	673558.3269
441	673558.3152
442	673558.3033
443	673558.291
444	673558.279
445	673558.2685
446	673558.2593
447	673558.2493
448	673558.2387
449	673558.23
450	673558.2197
451	673558.2109
452	673558.2012
453	673558.1917
454	673558.1832
455	673558.1748
456	673558.167
457	673558.1593
458	673558.1511
459	673558.1431
460	673558.1354
461	673558.1283
462	673558.121
463	673558.1139
464	673558.1073
465	673558.1006
466	673558.094
467	673558.0877
468	673558.0816
469	673558.0757
470	673558.07
471	673558.0648
472	673558.0594
473	673558.054
474	673558.0491
475	673558.0443
476	673558.0395
477	673558.0352
478	673558.0308
479	673558.0263
480	673558.0221
481	673558.0179
482	673558.0138
483	673558.0097
484	673558.0059
485	673558.0021
486	673557.9987
487	673557.9951
488	673557.9917
489	673557.9883
490	673557.9852
491	673557.982
492	673557.979
493	673557.9762
494	673557.9732
495	673557.9703
496	673557.9676
497	673557.965
498	673557.9623
499	673557.9598
500	673557.9575
501	673557.9551
502	673557.9528
503	673557.9505
504	673557.9484
505	673557.9462
506	673557.9442
507	673557.9422
508	673557.9402
509	673557.9382
510	673557.9364
511	673557.9345
512	673557.9328
513	673557.9311
514	673557.9294
515	673557.9277
516	673557.9261
517	673557.9246
518	673557.9231
519	673557.9217
520	673557.9203
521	673557.9188
522	673557.9175
523	673557.9161
524	673557.9149
525	673557.9146
526	673557.9134
527	673557.9122
528	673557.911
529	673557.9099
530	673557.9088
531	673557.9077
532	673557.9067
533	673557.9057
534	673557.9047
535	673557.9045
536	673557.9036
537	673557.9026
538	673557.9017
539	673557.9008
540	673557.9
541	673557.8992
542	673557.8983
543	673557.8975
544	673557.8968
545	673557.896
546	673557.8953
547	673557.8945
548	673557.8939
549	673557.8932
550	673557.8925
551	673557.8919
552	673557.8912
553	673557.8911
554	673557.8906
555	673557.89
556	673557.8894
557	673557.8889
558	673557.8883
559	673557.8878
560	673557.8878
561	673557.8872
562	673557.8872
563	673557.8867
564	673557.8862
565	673557.8858
566	673557.8853
567	673557.8849
568	673557.8844
569	673557.884
570	673557.8836
571	673557.8832
572	673557.8828
573	673557.8824
574	673557.8823
575	673557.8819
576	673557.8816
577	673557.8812
578	673557.8809
579	673557.8805
580	673557.8802
581	673557.8799
582	673557.8796
583	673557.8795
584	673557.8792
585	673557.8789
586	673557.8786
587	673557.8784
588	673557.8781
589	673557.8778
590	673557.8776
591	673557.8773
592	673557.8771
593	673557.8768
594	673557.8766
595	673557.8766
596	673557.8765
597	673557.8763
598	673557.8763
599	673557.8763
600	673557.8761
601	673557.8759
602	673557.8756
603	673557.8754
604	673557.8753
605	673557.8751
606	673557.8749
607	673557.8747
608	673557.8747
609	673557.8745
610	673557.8745
611	673557.8745
612	673557.8743
613	673557.8741
614	673557.874
615	673557.8738
616	673557.8738
617	673557.8737
618	673557.8735
619	673557.8734
620	673557.8733
621	673557.8732
622	673557.8731
623	673557.8729
624	673557.8728
625	673557.8727
626	673557.8726
627	673557.8726
628	673557.8724
629	673557.8723
630	673557.8722
631	673557.8722
632	673557.8722
633	673557.8722
634	673557.8722
635	673557.8721
636	673557.8721
637	673557.872
638	673557.8719
639	673557.8719
640	673557.8719
641	673557.8718
642	673557.8718
643	673557.8717
644	673557.8717
645	673557.8716
646	673557.8716
647	673557.8715
648	673557.8715
649	673557.8714
650	673557.8713
651	673557.8713
652	673557.8713
653	673557.8713
654	673557.8712
655	673557.8711
656	673557.8711
657	673557.8711
658	673557.871
659	673557.8709
660	673557.8708
661	673557.8707
662	673557.8707
663	673557.8707
664	673557.8707
665	673557.8707
666	673557.8706
667	673557.8706
668	673557.8706
669	673557.8706
670	673557.8706
671	673557.8705
672	673557.8705
673	673557.8705
674	673557.8705
675	673557.8704
676	673557.8704
677	673557.8704
678	673557.8703
679	673557.8703
680	673557.8703
681	673557.8702
682	673557.8702
683	673557.8701
684	673557.8701
685	673557.87
686	673557.87
687	673557.87
688	673557.87
689	673557.87
690	673557.8699
691	673557.8699
692	673557.8699
693	673557.8698
694	673557.8698
695	673557.8698
696	673557.8698
697	673557.8698
698	673557.8698
699	673557.8698
700	673557.8697
701	673557.8697
702	673557.8697
703	673557.8696
704	673557.8696
705	673557.8696
706	673557.8696
707	673557.8696
708	673557.8695
709	673557.8695
710	673557.8695
711	673557.8695
712	673557.8695
713	673557.8695
714	673557.8695
715	673557.8695
716	673557.8695
717	673557.8695
718	673557.8695
719	673557.8695
720	673557.8695
721	673557.8694
722	673557.8694
723	673557.8694
724	673557.8694
725	673557.8693
726	673557.8693
727	673557.8693
728	673557.8693
729	673557.8693
730	673557.8693
731	673557.8693
732	673557.8693
733	673557.8693
734	673557.8693
735	673557.8692
736	673557.8692
737	673557.8692
738	673557.8691
739	673557.8691
740	673557.8691
741	673557.8691
742	673557.8691
743	673557.8691
744	673557.8691
745	673557.869
746	673557.869
747	673557.869
748	673557.869
749	673557.869
750	673557.869
751	673557.869
752	673557.869
753	673557.869
754	673557.8689
755	673557.8689
756	673557.8689
757	673557.8689
758	673557.8689
759	673557.8689
760	673557.8689
761	673557.8689
762	673557.8689
763	673557.8688
764	673557.8688
765	673557.8688
766	673557.8688
767	673557.8688
768	673557.8688
769	673557.8688
770	673557.8688
771	673557.8688
772	673557.8688
773	673557.8688
774	673557.8688
775	673557.8688
776	673557.8688
777	673557.8688
778	673557.8688
779	673557.8688
780	673557.8688
781	673557.8687
782	673557.8687
783	673557.8687
784	673557.8687
785	673557.8687
786	673557.8687
787	673557.8687
788	673557.8687
789	673557.8687
790	673557.8687
791	673557.8687
792	673557.8687
793	673557.8687
794	673557.8687
795	673557.8686
796	673557.8686
797	673557.8686
798	673557.8686
799	673557.8686
800	673557.8686
801	673557.8686
802	673557.8686
803	673557.8686
804	673557.8686
805	673557.8686
806	673557.8686
807	673557.8686
808	673557.8686
809	673557.8686
810	673557.8686
811	673557.8686
812	673557.8686
813	673557.8686
814	673557.8686
815	673557.8685
816	673557.8685
817	673557.8685
818	673557.8685
819	673557.8685
820	673557.8685
821	673557.8685
822	673557.8685
823	673557.8685
824	673557.8685
825	673557.8685
826	673557.8685
827	673557.8685
828	673557.8685
829	673557.8685
830	673557.8685
831	673557.8685
832	673557.8685
833	673557.8685
834	673557.8685
835	673557.8685
836	673557.8685
837	673557.8685
838	673557.8685
839	673557.8685
840	673557.8685
841	673557.8685
842	673557.8685
843	673557.8685
844	673557.8684
845	673557.8684
846	673557.8684
847	673557.8684
848	673557.8684
849	673557.8684
850	673557.8684
851	673557.8684
852	673557.8684
853	673557.8684
854	673557.8684
855	673557.8684
856	673557.8684
857	673557.8684
858	673557.8684
859	673557.8684
860	673557.8684
861	673557.8684
862	673557.8684
863	673557.8684
864	673557.8684
865	673557.8684
866	673557.8684
867	673557.8684
868	673557.8684
869	673557.8684
870	673557.8684
871	673557.8684
872	673557.8684
873	673557.8684
874	673557.8684
875	673557.8684
876	673557.8684
877	673557.8684
878	673557.8684
879	673557.8684
880	673557.8684
881	673557.8684
882	673557.8684
883	673557.8684
884	673557.8684
885	673557.8684
886	673557.8684
887	673557.8684
888	673557.8684
889	673557.8684
890	673557.8684
891	673557.8684
892	673557.8684
893	673557.8684
894	673557.8684
895	673557.8684
896	673557.8684
897	673557.8684
898	673557.8684
899	673557.8684
900	673557.8684
901	673557.8684
902	673557.8684
903	673557.8684
904	673557.8684
905	673557.8684
906	673557.8684
907	673557.8684
908	673557.8684
909	673557.8684
910	673557.8684
911	673557.8683
912	673557.8683
913	673557.8683
914	673557.8683
915	673557.8683
916	673557.8683
917	673557.8683
918	673557.8683
919	673557.8683
920	673557.8683
921	673557.8683
922	673557.8683
923	673557.8683
924	673557.8683
925	673557.8683
926	673557.8683
927	673557.8683
928	673557.8683
929	673557.8683
930	673557.8683
931	673557.8683
932	673557.8683
933	673557.8683
934	673557.8683
935	673557.8683
936	673557.8683
937	673557.8683
938	673557.8683
939	673557.8683
940	673557.8683
941	673557.8683
942	673557.8683
943	673557.8683
944	673557.8683
945	673557.8683
946	673557.8683
947	673557.8683
948	673557.8683
949	673557.8683
950	673557.8683
951	673557.8683
952	673557.8683
953	673557.8683
954	673557.8683
955	673557.8683
956	673557.8683
957	673557.8683
958	673557.8683
959	673557.8683
960	673557.8683
961	673557.8683
962	673557.8683
963	673557.8683
964	673557.8683
965	673557.8683
966	673557.8683
967	673557.8683
968	673557.8683
969	673557.8683
970	673557.8683
971	673557.8683
972	673557.8683
973	673557.8683
974	673557.8683
975	673557.8683
976	673557.8682
977	673557.8682
978	673557.8682
979	673557.8682
980	673557.8682
981	673557.8682
982	673557.8682
983	673557.8682
984	673557.8682
985	673557.8682
986	673557.8682
987	673557.8682
988	673557.8682
989	673557.8682
990	673557.8682
991	673557.8682
992	673557.8682
993	673557.8682
994	673557.8682
995	673557.8682
996	673557.8682
997	673557.8682
998	673557.8682
999	673557.8682
