Job Title,Location,Qualifications,Salary
Asset & Wealth Management - Software Engineer - Associate - New York,"Goldman Sachs - 3.9
New York, NY","['Spring Boot', 'CI/CD', 'Gradle', 'JUnit', 'Kubernetes', 'NoSQL', 'Git', 'Test-driven development', 'MongoDB', 'Mid-level', '3 years', 'Java', 'Microservices', 'SQL', 'AWS', 'Analysis skills', 'Docker', 'Machine learning', 'Distributed systems', 'REST', 'Financial services', 'Kafka', 'Maven', 'Multithreading', 'Communication skills', 'Spring']","Part-time | Full-time
$115,000 - $180,000 a year
1 day ago"
Software Engineer,"Garage - 3.4
New York, NY","['Computer Science', 'React', ""Master's degree"", ""Bachelor's degree"", 'GitHub', '1 year', 'TypeScript', 'Entry level']","Full-time
$125,000 - $175,000 a year
1 day ago"
Full Stack Developer,"Hook & Barrel, LLC - 3.0
United States","['Email marketing', 'Adobe Photoshop', 'Node.js', 'React', 'WordPress', 'Adobe Illustrator', 'PHP', 'JavaScript', 'PostgreSQL', 'Redis', 'Software development', 'APIs', 'GraphQL', 'Playwright', 'Senior level', 'AI', 'Google Analytics', '2 years', 'TypeScript', 'Analytics']","Full-time
$80,000 - $125,000 a year
7 days ago"
Software Development Engineer 1,"Adobe - 4.3
New York, NY","['Computer science', 'Bachelor of Science', 'iOS', 'Mid-level', 'Windows', 'Java', 'Algorithms', 'C++', 'C', ""Bachelor's degree"", 'Machine learning', 'JavaScript', 'Distributed systems', 'Packaging', 'SDKs', 'Organizational skills', 'Data transformation', 'TypeScript', 'Communication skills', 'Design patterns']","Full-time
$76,000 - $152,200 a year
1 day ago"
"Senior Backend Engineer - Python, Webframeworks, SQL, MySQL, Postgres - Resy","Amex - 4.1
New York, NY","['Jira', 'RDBMS', 'Hospitality', 'Performance tuning', 'Computer science', 'Management', 'Computer Science', 'PCI', 'UNIX', 'MongoDB', 'Microservices', 'SQL', 'AWS', 'Project management', ""Bachelor's degree"", 'PostgreSQL', 'Django', 'APIs', 'S3', 'Linux', 'Kafka', 'Flask', 'Senior level', 'Python', 'MySQL']","$110,000 - $190,000 a year
3 days ago"
Senior Software Engineer - Scala,"Disney Entertainment & ESPN Technology - 3.4
New York, NY","['CI/CD', 'Computer science', 'Computer Science', 'Kubernetes', '5 years', 'Writing skills', 'Spark', 'System architecture', 'Java', 'Functional testing', 'AWS', ""Bachelor's degree"", 'Scala', 'Terraform', 'Software development', 'APIs', 'S3', 'Integration testing', 'Apache', 'DynamoDB', 'Senior level', 'Jenkins', 'Python', 'Design patterns']","$138,900 - $203,900 a year
2 days ago"
Platform Developer,"City National Bank - 3.6
New York, NY","['CI/CD', 'MCSA', 'Salesforce Certification', 'MCSE', 'Salesforce', 'Information Systems', 'Mid-level', ""Master's degree"", ""Bachelor's degree"", 'MTA', 'Systems engineering', 'Organizational skills', 'Software development', 'Agile', 'Financial services', 'Epic Certification', 'Unit testing', '4 years', 'Communication skills', 'Time management', 'SDLC']","$87,027 - $138,965 a year
10 days ago"
Software Engineer II (C# .NET WinForms),"Management Science Associates - 2.8
United States","['RDBMS', 'Computer science', 'Power BI', 'Management', 'Computer Science', 'Relational databases', '5 years', 'Visual Studio', 'C#', 'Microsoft SQL Server', 'SSRS', '.NET', 'Database management', ""Bachelor's degree"", 'Data management', 'Software development', 'IT', 'Unit testing', 'Systems analysis', 'Manufacturing', 'Senior level', 'Communication skills', 'Python', 'SDLC']","Full-time
Estimated: $104K - $132K a year"
Principal Performance Engineer (Trading),"Fidelity Investments - 4.0
Jersey City, NJ","['Computer science', 'Ethereum', 'Oracle', 'Computer Science', 'Relational databases', 'Cucumber', 'Test automation', 'Employment & labor law', 'Selenium', 'Performance testing', 'Java', 'Databases', 'SQL', 'AWS', ""Bachelor's degree"", 'Splunk', 'Scripting', 'Scrum', 'Agile', 'IT', 'S3', 'Senior level', 'Cryptocurrency', 'Mechanical knowledge', 'Python', 'Shell Scripting', '10 years']","$85,000 - $179,000 a year"
Lead Backend Developer,"TXR
United States","['Jira', 'CI/CD', 'Management', 'Kubernetes', 'RESTful API', 'Git', 'Mid-level', 'AWS', 'Confluence', 'PostgreSQL', 'Back-end development', 'Django', 'GitHub', 'APIs', 'S3', 'HubSpot', '4 years', 'Communication skills', 'Python']","Full-time
$120,000 - $140,000 a year"
Python Developer,"Schrödinger - 3.0
New York, NY","['Test-driven development', 'Mid-level', 'OOP', 'Python']","$120,000 - $160,000 a year
9 days ago"
"Java Backend Engineer - Aladdin Engineering, Associate","BlackRock Investments - 3.8
New York, NY","['Azure', 'Computer Science', 'Cassandra', 'React', 'Kubernetes', 'Ansible', 'Relational databases', 'Software deployment', 'Bachelor of Science', 'DevOps', 'Microsoft SQL Server', 'NoSQL', 'Employee orientation', 'Git', 'Test-driven development', 'Google Cloud Platform', 'Research', 'Mid-level', '3 years', 'Java', ""Master's degree"", 'Databases', 'Microservices', 'SQL', 'AWS', 'Analysis skills', 'Docker', ""Bachelor's degree"", 'JavaScript', 'Product management', 'Master of Science', 'Terraform', 'Redis', 'REST', 'Angular', 'APIs', 'Sybase', 'Agile', 'Kafka', 'Unit testing', 'Middleware', 'Service-oriented architecture', 'Vue.js', 'Maven', 'AI', 'gRPC', 'Leadership', 'Communication skills', 'Spring', 'Hibernate', 'High availability', 'Design patterns']","$145,000 - $162,000 a year"
"Risk - New York- Associate, Software Engineering- 8456298","Goldman Sachs - 3.9
New York, NY","['Software Engineering', 'Mid-level', ""Master's degree"", 'OOP', ""Bachelor's degree"", '1 year']","$123,800 - $172,000 a year
22 hours ago"
