"Standardized Job Title","Salary","Company Name","Qualifications","Job Title","Company Location"
"Software Engineer","115000","Goldman Sachs - 3.9","['Spring Boot', 'CI/CD', 'Gradle', 'JUnit', 'Kubernetes', 'NoSQL', 'Git', 'Test-driven development', 'MongoDB', 'Mid-level', '3 years', 'Java', 'Microservices', 'SQL', 'AWS', 'Analysis skills', 'Docker', 'Machine learning', 'Distributed systems', 'REST', 'Financial services', 'Kafka', 'Maven', 'Multithreading', 'Communication skills', 'Spring']","Asset & Wealth Management - Software Engineer - Associate - New York","New York, NY"
"Software Engineer","125000","Garage - 3.4","['Computer Science', 'React', ""Master's degree"", ""Bachelor's degree"", 'GitHub', '1 year', 'TypeScript', 'Entry level']","Software Engineer","New York, NY"
"Full Stack Developer","80000","Hook & Barrel, LLC - 3.0","['Email marketing', 'Adobe Photoshop', 'Node.js', 'React', 'WordPress', 'Adobe Illustrator', 'PHP', 'JavaScript', 'PostgreSQL', 'Redis', 'Software development', 'APIs', 'GraphQL', 'Playwright', 'Senior level', 'AI', 'Google Analytics', '2 years', 'TypeScript', 'Analytics']","Full Stack Developer","United States"
"Software Engineer","76000","Adobe - 4.3","['Computer science', 'Bachelor of Science', 'iOS', 'Mid-level', 'Windows', 'Java', 'Algorithms', 'C++', 'C', ""Bachelor's degree"", 'Machine learning', 'JavaScript', 'Distributed systems', 'Packaging', 'SDKs', 'Organizational skills', 'Data transformation', 'TypeScript', 'Communication skills', 'Design patterns']","Software Development Engineer 1","New York, NY"
"Backend Developer","110000","Amex - 4.1","['Jira', 'RDBMS', 'Hospitality', 'Performance tuning', 'Computer science', 'Management', 'Computer Science', 'PCI', 'UNIX', 'MongoDB', 'Microservices', 'SQL', 'AWS', 'Project management', ""Bachelor's degree"", 'PostgreSQL', 'Django', 'APIs', 'S3', 'Linux', 'Kafka', 'Flask', 'Senior level', 'Python', 'MySQL']","Senior Backend Engineer - Python, Webframeworks, SQL, MySQL, Postgres - Resy","New York, NY"
"Software Engineer","138900","Disney Entertainment & ESPN Technology - 3.4","['CI/CD', 'Computer science', 'Computer Science', 'Kubernetes', '5 years', 'Writing skills', 'Spark', 'System architecture', 'Java', 'Functional testing', 'AWS', ""Bachelor's degree"", 'Scala', 'Terraform', 'Software development', 'APIs', 'S3', 'Integration testing', 'Apache', 'DynamoDB', 'Senior level', 'Jenkins', 'Python', 'Design patterns']","Senior Software Engineer - Scala","New York, NY"
"Developer","87027","City National Bank - 3.6","['CI/CD', 'MCSA', 'Salesforce Certification', 'MCSE', 'Salesforce', 'Information Systems', 'Mid-level', ""Master's degree"", ""Bachelor's degree"", 'MTA', 'Systems engineering', 'Organizational skills', 'Software development', 'Agile', 'Financial services', 'Epic Certification', 'Unit testing', '4 years', 'Communication skills', 'Time management', 'SDLC']","Platform Developer","New York, NY"
"Software Engineer","104000","Management Science Associates - 2.8","['RDBMS', 'Computer science', 'Power BI', 'Management', 'Computer Science', 'Relational databases', '5 years', 'Visual Studio', 'C#', 'Microsoft SQL Server', 'SSRS', '.NET', 'Database management', ""Bachelor's degree"", 'Data management', 'Software development', 'IT', 'Unit testing', 'Systems analysis', 'Manufacturing', 'Senior level', 'Communication skills', 'Python', 'SDLC']","Software Engineer II (C# .NET WinForms)","United States"
"Engineer","85000","Fidelity Investments - 4.0","['Computer science', 'Ethereum', 'Oracle', 'Computer Science', 'Relational databases', 'Cucumber', 'Test automation', 'Employment & labor law', 'Selenium', 'Performance testing', 'Java', 'Databases', 'SQL', 'AWS', ""Bachelor's degree"", 'Splunk', 'Scripting', 'Scrum', 'Agile', 'IT', 'S3', 'Senior level', 'Cryptocurrency', 'Mechanical knowledge', 'Python', 'Shell Scripting', '10 years']","Principal Performance Engineer (Trading)","Jersey City, NJ"
"Backend Developer","120000","TXR","['Jira', 'CI/CD', 'Management', 'Kubernetes', 'RESTful API', 'Git', 'Mid-level', 'AWS', 'Confluence', 'PostgreSQL', 'Back-end development', 'Django', 'GitHub', 'APIs', 'S3', 'HubSpot', '4 years', 'Communication skills', 'Python']","Lead Backend Developer","United States"
"Developer","120000","Schrödinger - 3.0","['Test-driven development', 'Mid-level', 'OOP', 'Python']","Python Developer","New York, NY"
"Backend Developer","145000","BlackRock Investments - 3.8","['Azure', 'Computer Science', 'Cassandra', 'React', 'Kubernetes', 'Ansible', 'Relational databases', 'Software deployment', 'Bachelor of Science', 'DevOps', 'Microsoft SQL Server', 'NoSQL', 'Employee orientation', 'Git', 'Test-driven development', 'Google Cloud Platform', 'Research', 'Mid-level', '3 years', 'Java', ""Master's degree"", 'Databases', 'Microservices', 'SQL', 'AWS', 'Analysis skills', 'Docker', ""Bachelor's degree"", 'JavaScript', 'Product management', 'Master of Science', 'Terraform', 'Redis', 'REST', 'Angular', 'APIs', 'Sybase', 'Agile', 'Kafka', 'Unit testing', 'Middleware', 'Service-oriented architecture', 'Vue.js', 'Maven', 'AI', 'gRPC', 'Leadership', 'Communication skills', 'Spring', 'Hibernate', 'High availability', 'Design patterns']","Java Backend Engineer - Aladdin Engineering, Associate","New York, NY"
"Software Engineer","123800","Goldman Sachs - 3.9","['Software Engineering', 'Mid-level', ""Master's degree"", 'OOP', ""Bachelor's degree"", '1 year']","Risk - New York- Associate, Software Engineering- 8456298","New York, NY"
"Full Stack Developer","140000","Accrete - 3.0","['CI/CD', 'Data modeling', 'Management', 'Node.js', 'React', 'Kubernetes', 'RESTful API', 'Full-stack development', 'Software deployment', 'DevOps', 'NoSQL', 'Git', 'Google Cloud Platform', 'Mid-level', '3 years', 'Databases', 'Microservices', 'SQL', 'AWS', 'Docker', 'Machine learning', 'JavaScript', 'Back-end development', 'Angular', 'Django', 'APIs', 'Scalability', 'IT', 'Construction', 'Vue.js', 'Flask', 'AI']","Software Engineer - Full-Stack","New York, NY"
"Software Engineer","151819","Luxoft - 4.5","['Computer science', 'Node.js', 'Computer Science', 'React', 'English', 'Mid-level', 'Java', ""Bachelor's degree"", 'JavaScript', 'Computer Information Systems', 'Kafka', 'Maven', '2 years', 'Spring', 'Hibernate']","Software Developer","New York, NY"
"Software Engineer","120000","Morgan & Morgan, P.A. - 2.8","['Mid-level', 'Personal injury law']","Software Engineer","Brooklyn, NY"
"Backend Developer","120000","Bevel","['Mid-level', 'TypeScript', 'Python']","Backend Engineer","New York, NY"
"Engineer","132500","BlackRock Investments - 3.8","['CI/CD', 'Computer science', 'Kotlin', 'Computer Science', 'Relational databases', 'Bachelor of Science', 'UNIX', 'Employee orientation', 'Git', 'Mid-level', '3 years', 'Java', 'Analysis skills', ""Bachelor's degree"", 'Distributed systems', 'Product management', 'Scrum', 'APIs', 'Linux', 'Distributed computing', 'SDLC']","Java Engineer, Associate","New York, NY"
"Engineer","124800","Evolve ESolutions LLC","['Kubernetes', 'Software deployment', 'PaaS', 'Mid-level', 'Cloud Native Design', 'Red Hat OpenShift', 'Azure Kubernetes Service (AKS)', '9 years']","Kubernetes Engineer","New York, NY"
"Backend Developer","160091","Spotify - 4.1","['Writing skills', 'Data structures', 'System design', 'Java', 'Distributed systems', 'APIs', 'Senior level', 'Under 1 year']","Backend Engineer","New York, NY"
"Software Engineer","133000","JPMorganChase - 3.9","['Spring Boot', 'CI/CD', 'Cassandra', 'Software troubleshooting', 'React', 'RESTful API', 'DevOps', 'Business analysis', 'System design', '3 years', 'Java', 'Application development', 'Business development', 'AWS', 'Machine learning', 'Cloud development', 'Angular', 'GitHub', 'Agile', 'Kafka', 'Senior level', 'AI', 'Jenkins', 'Debugging', 'SDLC']","Java Software Engineer III","New York, NY"
"Backend Developer","75000","Benefit Funds Office - 4.0","['ASP.NET', 'Computer science', 'Computer Science', 'CSS', 'Software troubleshooting', 'Web development', 'C#', 'Microsoft SQL Server', 'Git', 'Mid-level', '.NET', ""Bachelor's degree"", 'SVN', 'JavaScript', 'Back-end development', 'COBOL', 'Software development', 'Agile', 'TFS', '2 years', 'Communication skills', 'HTML']","Backend Developer","New York, NY"
"Engineer","120000","iVisa.com","['TensorFlow', 'CI/CD', 'PyTorch', 'Google Cloud Platform', '3 years', 'AWS', 'Machine learning', 'Senior level', 'AI', 'Machine learning frameworks', 'Leadership', 'Communication skills', 'Python', 'MLOps']","Lead Machine Learning Engineer","United States"
"Developer","67000","Hazen and Sawyer - 4.5","['ArcGIS', 'Computer science', 'Azure', 'Cloud architecture', 'Node.js', 'Computer Science', 'CSS', 'React', 'DevOps', 'C#', 'NoSQL', 'Mid-level', ""Master's degree"", 'SQL', ""Bachelor's degree"", 'JavaScript', 'Software development', 'Cloud computing', '1 year', 'Communication skills', 'Python', 'HTML']","Digital Solutions Developer","New York, NY"
"Software Engineer","140000","Accrete - 3.0","['CI/CD', 'System administration', 'Azure', 'Management', 'Doctoral degree', 'Computer Science', 'Software Engineering', 'Kubernetes', 'Ansible', 'DevOps', 'UNIX', 'Mid-level', '3 years', 'Bash', 'AWS', 'Docker', 'Machine learning', 'Doctor of Philosophy', 'Terraform', 'Continuous integration', 'Scripting', 'Vulnerability management', 'IT', 'Construction', 'Linux', 'CircleCI', 'AI', 'Jenkins', 'GitLab', 'Python', 'Shell Scripting']","Software Engineer - DevOps","New York, NY"
"Software Engineer","76000","Adobe - 4.3","['Computer science', 'Bachelor of Science', 'iOS', 'Mid-level', 'Windows', 'Java', 'Algorithms', 'C++', 'C', ""Bachelor's degree"", 'Machine learning', 'JavaScript', 'Distributed systems', 'Packaging', 'SDKs', 'Organizational skills', 'Data transformation', 'TypeScript', 'Communication skills', 'Design patterns']","Media Platform Software Development Engineer","New York, NY"
"Software Engineer","115000","Goldman Sachs - 3.9","['Node.js', 'CSS', 'React', 'Full-stack development', 'Relational databases', 'Data structures', 'NoSQL', 'MongoDB', 'Mid-level', 'Java', 'Algorithms', 'OOP', 'JavaScript', 'REST', 'Angular', 'Sybase', '2 years', 'HTML', 'SDLC', 'Design patterns']","Asset & Wealth Management- Associate- New York- Software Engineer","New York, NY"
"Software Engineer","185200","Block, Inc. - 3.6","['React', 'Mid-level', 'AWS', 'JavaScript', 'SDKs', 'Mentoring', 'APIs', '1 year', 'Vue.js', 'TypeScript', 'Teaching']","Staff Software Engineer, Web Payments","New York, NY"
"Full Stack Developer","160000","K. Hovnanian Homes - 3.4","['Full-stack development', '5 years', 'SQL', 'JavaScript', 'Product management', 'Organizational skills', 'Agile', 'Senior level', 'AI', 'Python', 'SDLC']","Senior Software Engineer-Full Stack","New York, NY"
"Engineer","118500","Intercontinental Exchange Holdings, Inc. - 3.3","['Cloud infrastructure', 'Azure', 'Full-stack development', 'Software deployment', 'DevOps', 'AWS Certification', 'Git', 'Google Cloud Platform', 'Mid-level', 'Bash', 'AWS', 'Docker', 'Terraform', 'Continuous integration', 'Splunk', 'Scripting', 'Agile', 'Linux', '2 years', 'Communication skills', 'Python', 'Shell Scripting']","Cloud Engineer","New York, NY"
"Software Engineer","4160","Google - 4.3","['Doctoral degree', 'Computer Science', 'Mid-level', 'Java', ""Master's degree"", 'C++', 'C', ""Bachelor's degree"", 'Doctor of Philosophy', 'JavaScript', 'Distributed systems', 'Natural language processing', 'Software development', '1 year', 'Distributed computing', 'AI', 'Python', 'Debugging']","Software Engineer III, Gaming, AR","New York, NY"
"Developer","135000","Barclays - 3.9","['Jira', 'UNIX', 'Git', 'Test-driven development', 'Java', 'Confluence', 'Software development', 'Agile', 'Investment banking', 'Kafka', 'Unit testing', 'Senior level', 'Banking']","Trading Java Developer","New York, NY"
"Backend Developer","72700","PayPal - 3.8","['Azure', 'Computer Science', 'NoSQL', 'Google Cloud Platform', '3 years', 'Java', 'Databases', 'SQL', 'Database design', 'AWS', ""Bachelor's degree"", 'Ruby on Rails', 'REST', 'Senior level', 'Python', 'Spring', 'Hibernate', 'Spring MVC']","Senior Engineer Backend (Java)","New York, NY"
"Engineer","106000","QSS - 3.9","['Kubernetes', 'Mid-level']","Kubernetes Engineer","Manhattan, NY"
"Software Engineer","115000","Complex - 3.9","['Management', 'React', '5 years', 'Google Ad Manager', 'Google Tag Manager', 'JavaScript', 'SDKs', 'SEO', 'APIs', 'Front-end development', 'A/B testing', 'Martech', 'Senior level', 'Google Analytics', 'Debugging']","Software Engineer (JavaScript, Next.js, React)","New York, NY"
"Engineer","175000","Just Salad - 3.3","['React', 'iOS', 'Jest', 'Mid-level', 'E-commerce', '3 years', 'Project management', 'JavaScript', 'GitHub', 'Integration testing', 'React Native']","React Native Engineer","New York, NY"
